sensor_id,area,equipment,temperature,status,temperature_margin,is_high_temperature,temperature_status
T001,PM1,Pump_A,65.5,ok,-19.5,False,normal
T002,PM1,Pump_A,88.0,ok,3.0,True,high
T003,PM1,Motor_A,72.0,warning,-13.0,False,normal
T005,PM2,Motor_A,80.0,warning,-5.0,False,normal
T006,PM2,Motor_A,85.0,ok,0.0,True,high
T007,PM2,Pump_B,91.0,ok,6.0,True,critical
T009,PM3,Pump_C,90.0,error,5.0,True,critical
T010,PM3,Pump_C,95.0,ok,10.0,True,critical
T014,PM4,Fan_A,82.0,ok,-3.0,False,normal
T015,PM4,Fan_A,87.0,warning,2.0,True,high
